"artist","album","genre","rating","date"
"Oxbow","Thin Black Duke","Metal","7.3",2017-05-11
"Blondie","Pollinator","Rock","6.7",2017-05-11
"Animal Collective","Meeting of the Waters EP","Rock","7.3",2017-05-11
"Fazerdaze","Morningside","Pop/R&B","7.0",2017-05-12
"Brother Ali","All the Beauty in This Whole Life","Rap","7.4",2017-05-12
"Logic","Everybody","Rap","5.2",2017-05-12
"Girlpool","Powerplant","Rock","8.3",2017-05-12
"AceMo","Black Populous","Electronic","7.3",2017-05-13
"Slackk","A Little Light",NA,"6.3",2017-05-13
"Sevdaliza","ISON","Pop/R&B","7.7",2017-05-13
"Nick Cave & the Bad Seeds","Lovely Creatures: The Best of Nick Cave & The Bad Seeds 1984-2014","Rock","8.1",2017-05-13
"Jay Z","Reasonable Doubt","Rap","9.4",2017-05-14
"Joan Shelley","Joan Shelley","Folk/Country","7.6",2017-05-08
"Black Lips","Satan’s graffiti or God’s art?","Rock","6.6",2017-05-08
"Slowdive","Slowdive","Rock","8.6",2017-05-08
"Full of Hell","Trumpeting Ecstasy","Metal","7.7",2017-05-09
"Bonnie “Prince” Billy","Best Troubador","Folk/Country","7.4",2017-05-09
"Juana Molina","Halo","Folk/Country","8.0",2017-05-09
"At the Drive In","in•ter a•li•a","Rock","5.8",2017-05-09
"Croatian Amor","Finding People EP","Electronic","6.3",2017-05-10
"Nite Jewel","Real High","Pop/R&B","7.5",2017-05-10
"Todd Rundgren","White Knight","Rock","6.6",2017-05-10
"Alice Coltrane","World Spirituality Classics 1: The Ecstatic Music of Alice Coltrane Turiyasangitananda","Jazz","8.8",2017-05-10
"Penguin Cafe","The Imperfect Sea","Experimental","6.4",2017-05-11
"Mac DeMarco","This Old Dog","Rock","7.9",2017-05-04
"Cabo Boing","Blob on a Grid","Experimental","7.5",2017-05-05
"G Perico","All Blue","Rap","7.9",2017-05-05
"The Afghan Whigs","In Spades","Rock","7.6",2017-05-05
"Perfume Genius","No Shape","Pop/R&B","8.8",2017-05-05
"Kweku Collins","Grey EP","Rap","7.6",2017-05-06
"Tiny Vipers","Laughter","Experimental","7.7",2017-05-06
"Forest Swords","Compassion","Experimental","7.8",2017-05-06
"Grateful Dead","May 1977: Get Shown the Light","Rock","9.0",2017-05-06
"Green Day","Dookie","Rock","8.7",2017-05-07
"Horse Lords","Mixtape IV","Experimental","7.0",2017-05-08
"Niia","I","Pop/R&B","7.1",2017-05-08
